feature,single_feature_R2
Family_History_Mental_Illness,-0.001
Chronic_Illnesses,-0.001
Medication_Use,-0.002
Meditation,-0.003
Therapy,-0.0033
Gender,-0.0034
Loneliness_Score,-0.0035
Substance_Use,-0.0035
Self_Esteem_Score,-0.0051
Employment_Status,-0.0055
Education_Level,-0.0066
Social_Support_Score,-0.0074
Work_Stress,-0.0158
Financial_Stress,-0.0158
Life_Satisfaction_Score,-0.0163
Age,-0.034
Sleep_Hours,-0.049
Physical_Activity_Hrs,-0.0513
